Metro.Status.Code,Number.of.Schools,Agency.ID,Federal.Revenue,Related.Children.in.Poverty,Total.Enrollment
3,2,35-I035,109000,33,185
2,4,72-I006,621000,195,1724
3,3,75-I078,204000,203,720
2,5,73-I017,790000,583,2637
2,3,42-I002,232000,146,625
1,4,55-I053,621000,511,851
3,2,08-I064,220000,130,425
3,3,56-I008,328000,113,505
3,4,10-I077,432000,259,1218
2,3,19-I039,387000,271,674
3,10,69-I001,1772000,1054,3865
3,8,07-I072,1876000,951,3455
3,2,32-I009,406000,76,153
3,2,48-I013,195000,89,235
2,2,63-I005,232000,83,262
2,21,55-I012,2274000,1050,16854
2,7,09-I034,1164000,903,2558
3,6,05-I006,917000,645,2177
3,3,25-I072,117000,127,557
2,15,24-I057,1840000,1564,6703
3,2,58-I031,281000,120,531
3,3,44-I084,861000,154,810
3,2,13-I010,37000,17,91
3,4,51-I003,691000,417,1840
2,3,66-I007,209000,105,640
3,2,76-I006,62000,23,126
2,2,68-I004,168000,42,289
2,2,24-I047,121000,107,365
3,3,06-I080,353000,175,425
2,2,16-I004,267000,107,345
2,3,72-I013,832000,226,2185
2,2,68-I006,532000,127,708
3,1,69-C082,54000,47,108
3,4,21-I002,747000,438,2291
3,8,70-I008,945000,253,2248
2,5,55-I007,735000,384,2320
3,3,61-I001,908000,262,850
2,2,40-I003,1167000,256,896
3,4,51-I029,422000,209,1638
3,2,49-I027,111000,44,320
3,4,32-I035,836000,381,1300
3,3,29-I066,535000,312,662
3,1,48-C072,165000,67,269
3,2,70-I023,174000,74,592
2,2,40-I067,166000,58,342
3,4,12-I039,1126000,550,1602
3,3,11-I016,473000,184,592
3,5,48-I005,1204000,790,1823
2,8,72-I005,1361000,701,9201
2,3,55-I009,297000,109,1028
2,1,66-C009,100000,69,383
3,3,21-I003,742000,239,752
2,3,19-I031,501000,184,1246
3,3,45-I003,424000,233,1013
3,3,67-I004,670000,247,790
3,2,27-I095,61000,44,250
3,1,03-C022,279000,99,220
