Metro.Status.Code,Number.of.Schools,Agency.ID,Federal.Revenue,Related.Children.in.Poverty,Total.Enrollment
3,9,520,1566000,597,4195
2,10,530,1667000,714,4731
3,8,560,1457000,653,3646
3,3,161,505000,224,1180
2,11,580,2143000,887,4239
3,7,590,1725000,666,4853
3,3,94,622000,143,1367
3,9,540,2271000,776,5977
3,8,550,1967000,879,4322
1,163,791,69954000,29602,118382
3,3,272,866000,366,2028
2,28,630,7814000,3371,23727
3,7,650,1819000,760,3262
2,124,190,37380000,13263,70633
2,8,12,2287000,537,4846
3,6,700,1527000,503,2398
3,16,710,3681000,1580,10000
3,5,720,1784000,822,4052
2,1,581,62000,88,307
3,14,730,2759000,1146,6000
2,28,750,6193000,1961,25352
2,3,770,1201000,412,1850
2,20,780,4241000,1999,12235
3,3,810,898000,325,2074
2,31,820,5227000,1954,13450
2,35,830,6659000,2564,22599
2,10,840,4119000,1234,10206
3,3,273,961000,339,1547
3,7,162,1417000,536,3553
3,2,880,488000,196,815
3,11,890,2880000,1192,6528
2,13,900,3093000,1250,8661
3,8,910,1797000,642,2797
3,12,920,1887000,825,5038
3,3,97,827000,212,1133
3,8,930,1557000,801,4060
2,16,950,2464000,1038,11627
3,3,139905,157000,104,811
1,11,21901,2560000,1071,7200
1,42,221901,11779000,4480,19040
1,51,101902,25191000,10471,50900
2,12,43901,634000,280,9946
3,1,242904,59000,23,73
2,16,20901,3745000,1817,11386
1,50,188901,12692000,6941,29183
3,1,140901,46000,48,179
3,3,228905,103000,31,267
3,1,109912,25000,56,192
3,6,4901,1706000,1207,3530
2,2,5901,112000,80,595
2,7,161918,68000,54,631
2,8,220915,1410000,708,5753
3,4,10902,588000,430,2553
2,6,36902,418000,222,2535
1,32,123910,14378000,5884,21015
3,8,13901,2966000,1571,4120
2,1,39904,43000,48,190
2,9,14903,2756000,1264,6502
3,3,125902,430000,160,631
3,1,138904,27000,12,102
2,3,230901,295000,214,706
1,34,220902,5034000,2098,21291
3,3,175902,157000,126,770
3,5,160901,1001000,513,1420
2,19,20905,4243000,2109,13500
3,8,239901,2166000,1044,4696
3,6,41901,218000,46,498
2,6,107902,1280000,449,2524
1,43,31901,36630000,19314,40200
1,21,21902,7725000,3350,13633
3,1,119901,125000,77,252
2,8,126902,988000,599,6293
3,5,26901,1142000,445,1977
3,3,49905,147000,82,1079
3,4,166901,1071000,687,1684
2,13,191901,1859000,1032,7412
2,9,220919,196000,34,6274
2,35,57903,4088000,1658,23320
2,9,57904,872000,247,6236
3,2,145902,262000,113,749
3,1,103901,38000,13,142
3,1,73901,214000,106,384
2,29,84910,3460000,1367,28576
2,8,146901,1257000,986,2877
3,3,18901,377000,223,1165
2,10,71901,3835000,1574,7268
2,5,30902,457000,336,1551
3,1,112908,189000,127,746
3,1,233903,50000,7,157
2,39,170902,7334000,4530,33330
3,3,60902,665000,251,979
1,65,178904,22553000,13166,42200
3,4,53001,418000,248,912
3,6,62901,1565000,472,2022
3,4,55901,484000,317,780
3,5,172902,1216000,498,1711
3,5,56901,963000,312,1577
1,220,57905,95848000,48995,160806
2,7,146902,720000,469,4808
2,9,227910,3041000,1897,6060
1,10,91903,2315000,1000,4643
1,20,61901,4532000,2526,14009
2,11,57906,1050000,320,6792
3,5,3905,1451000,649,1831
2,16,57907,2094000,509,10305
3,17,159901,10122000,5894,12242
1,9,227909,673000,264,7432
3,5,25909,251000,148,1276
1,11,15911,2730000,898,7741
1,44,68901,13218000,6977,27428
2,6,108903,5524000,2496,4709
1,26,15905,13912000,7659,13110
1,28,108904,14412000,7767,20918
1,82,71902,38186000,26807,62576
2,4,107905,564000,247,1991
3,2,121906,87000,13,455
2,6,220904,1434000,564,3488
3,4,81902,1088000,332,1580
2,3,43904,351000,316,1227
2,6,247901,1299000,880,3357
3,5,77901,996000,505,1099
3,1,148902,38000,21,155
3,1,169910,67000,43,171
2,48,79907,8589000,3675,52675
1,132,220905,45227000,24927,78878
2,9,152907,1474000,804,5127
3,6,86901,1013000,500,2738
2,6,84911,402000,115,4996
3,2,175905,142000,67,390
3,1,115901,597000,179,204
3,7,186902,1760000,876,2702
2,20,101910,6975000,3028,18520
2,63,57909,10724000,4448,49318
3,1,183904,193000,68,290
3,1,166902,45000,42,160
3,4,149901,484000,314,1272
2,13,246904,1673000,929,7532
2,5,92901,1355000,594,2152
2,3,126911,153000,74,1124
3,2,169906,59000,38,100
1,25,101911,7319000,3660,17956
2,31,57910,5604000,2649,19431
3,1,238904,142000,90,140
2,19,220906,945000,302,13465
2,11,116905,2468000,1491,5285
2,7,205902,1124000,618,4466
3,1,47903,141000,86,222
3,1,135001,15000,13,88
3,3,143901,354000,258,1100
2,4,123914,325000,179,1929
1,25,15904,11353000,5512,14633
2,24,31903,9966000,5656,15837
1,7,57911,0,202,5855
1,299,101912,123456000,69402,210715
2,3,91905,48000,156,950
2,1,19913,15000,14,84
3,4,3902,723000,248,2226
2,30,101913,3733000,899,23855
3,5,3904,465000,226,1634
3,10,236902,2584000,1410,6735
2,29,220916,3876000,1786,18797
2,4,205903,635000,320,2098
3,2,93903,138000,118,466
2,4,243903,264000,157,2139
3,2,208903,11000,7,186
3,1,18906,102000,35,138
1,33,57912,8346000,3728,27983
3,7,37904,2557000,1293,4509
2,4,246907,172000,90,690
2,7,126905,994000,640,4148
2,20,15916,5822000,1477,16322
2,27,101914,3412000,1113,32645
2,15,220907,1274000,320,15780
3,1,175907,342000,274,735
1,40,14906,42820000,5114,29334
2,29,101915,6781000,1323,31752
3,2,58905,94000,37,244
2,4,61905,119000,78,1098
3,4,75902,532000,347,1902
2,17,108912,12747000,5665,16140
3,3,254902,747000,236,462
1,7,161906,1511000,575,2465
2,5,61912,242000,80,3031
1,5,220910,1060000,373,1850
2,28,79901,7200000,3568,14907
3,9,141901,1282000,807,3231
1,30,240901,17612000,13985,22547
3,3,74909,205000,165,850
3,10,110902,2011000,921,3284
2,7,246908,975000,189,1435
2,6,146906,1555000,715,2400
3,1,160905,47000,20,90
1,17,92903,4613000,2679,8481
2,6,161907,75000,29,1461
1,60,152901,16418000,8387,29516
3,18,3903,4364000,2203,8002
2,6,129905,1096000,613,3037
2,6,227907,966000,364,2480
2,14,220908,2142000,585,13466
3,4,27904,1217000,568,3470
3,3,189901,366000,245,550
3,3,234905,136000,34,420
3,1,174909,243000,41,295
2,1,19903,211000,128,485
1,32,108906,15368000,9332,21484
2,14,43907,2060000,1593,10970
3,3,34906,123000,39,465
3,2,10901,163000,71,327
3,5,163908,1320000,427,2910
2,8,108907,4867000,2789,4972
2,5,221904,564000,455,1385
2,40,57914,6392000,2909,31683
3,1,197902,29000,29,173
1,36,165901,9957000,4995,21300
2,6,70908,611000,187,4173
1,11,161903,728000,201,5827
3,1,112907,168000,19,245
2,2,184904,242000,82,701
1,14,108908,10713000,5339,12036
3,1,18903,136000,60,160
3,1,173901,257000,79,227
3,10,174904,3524000,1904,6322
2,4,79906,415000,361,2453
2,9,46901,2273000,1088,6016
2,8,170908,2409000,1105,6002
3,1,37908,174000,45,400
3,2,252902,59000,50,194
1,59,15910,15344000,5188,49393
3,6,139911,1291000,525,3050
1,17,101909,8018000,4955,12551
1,79,15915,21070000,7364,62586
3,2,69902,222000,177,388
3,1,104907,26000,17,144
3,3,48903,69000,39,165
3,5,158905,4786000,543,1710
3,4,33902,150000,117,750
3,7,139909,3815000,1419,3860
3,11,195901,1742000,1106,2939
3,2,119903,70000,59,408
2,2,39903,109000,90,516
2,16,227904,1609000,500,13470
2,30,108909,19229000,9528,21602
3,3,251902,319000,136,587
3,12,95905,3486000,1851,6306
2,51,43910,5467000,1884,45670
2,4,31909,1820000,850,2332
2,1,184901,89000,36,425
2,18,123907,8620000,4125,11388
2,11,123908,938000,469,5018
3,5,7906,1020000,593,1600
2,5,116908,909000,538,2849
3,5,190903,347000,326,1438
3,5,245903,2974000,1464,2703
3,3,192901,391000,206,920
2,53,57916,6329000,3004,34909
2,4,31916,1252000,-9,2214
2,4,31911,1489000,840,2067
1,6,161922,597000,241,1971
2,9,178909,1815000,1956,4286
3,1,160904,117000,44,190
3,1,104902,75000,42,144
3,2,110905,242000,126,377
3,7,73905,704000,313,1025
2,34,246909,4714000,1780,30091
2,1,123913,0,42,165
3,1,44904,22000,17,103
1,30,226903,7111000,4146,16530
1,108,15907,55645000,28858,57734
3,4,203901,801000,396,1053
2,16,31912,7591000,3576,8680
3,15,233901,8243000,4001,10034
3,1,214902,252000,112,260
2,3,31914,951000,480,1250
2,9,94902,1842000,629,6193
3,2,12901,311000,207,745
3,1,210903,470000,184,190
1,7,101924,1360000,639,4161
1,13,91906,2529000,1357,6476
2,6,100904,1554000,1015,3289
2,7,205906,1414000,831,2198
3,3,13905,314000,214,690
2,7,152903,1148000,645,1459
2,5,11904,530000,272,1814
3,2,26903,208000,115,498
1,19,15908,8094000,3762,9828
1,5,15917,2800000,1145,4262
1,14,15912,6322000,3480,9555
2,5,170907,1254000,639,2814
1,4,92907,251000,173,1680
1,25,101919,5065000,1633,21936
2,6,184902,955000,326,3498
3,4,117904,220000,122,675
3,2,140908,169000,122,340
3,8,177902,1610000,844,2702
2,9,129906,3992000,1068,3983
2,12,19907,3524000,1759,5922
3,1,9903,67000,43,118
3,2,74912,91000,60,412
2,2,107907,126000,90,322
1,30,212905,9980000,4391,16654
1,31,240903,10759000,4713,25635
3,1,232904,90000,76,218
3,10,232903,4251000,2223,5296
3,6,244903,1163000,695,2549
1,23,235902,8241000,3495,14787
1,31,161914,11157000,6569,15681
3,1,18905,95000,94,224
2,4,102903,307000,218,815
2,17,108913,12196000,6479,13391
2,6,161916,156000,124,1538
3,1,168903,31000,52,145
3,3,33904,78000,35,450
3,1,110908,69000,40,200
1,30,243905,8769000,3816,15256
1,7,57920,1966000,1077,3485
3,2,248902,69000,45,361
3,1,224902,55000,28,147
1,6,221912,210000,152,2600
1,65,71905,29891000,16799,47275
2,54,1,10357000,3369,46260
3,5,2,337000,208,1499
3,26,3,2769000,969,11213
3,21,4,2901000,991,13500
3,13,5,3232000,830,4517
2,80,7,17879000,4067,63359
3,15,8,1747000,858,4173
3,10,9,1288000,415,3050
3,9,10,657000,162,1114
3,5,11,577000,372,1619
2,97,12,26281000,8407,74956
2,72,14,16976000,4404,74372
3,9,39,1745000,1121,5840
3,9,17,1516000,539,3831
3,3,18,411000,109,2095
2,12,40,3887000,700,6397
2,30,19,4930000,2136,20827
3,7,20,1253000,373,2563
3,3,21,236000,104,1017
1,24,37,6420000,2818,13681
3,6,22,641000,110,3846
1,24,38,7511000,2408,13414
3,4,24,492000,68,500
1,41,36,16761000,4631,26053
3,13,25,8096000,1175,3462
3,13,26,2535000,793,4742
3,6,27,2577000,510,2934
2,18,30,3046000,840,8924
3,11,31,3063000,1290,6296
3,29,33,4577000,2877,18606
3,4,34,283000,123,568
2,39,35,5743000,2107,28677
3,1,U042,48000,49,541
3,2,U041,422000,73,1005
3,2,U045,49000,27,825
3,1,T002,23000,29,103
3,1,T006,0,8,18
3,1,T011,67000,183,963
3,1,T012,100000,68,1062
3,2,U002,357000,18,766
3,1,T026,59000,121,417
3,3,U006,312000,85,1450
3,1,T030,31000,61,164
3,1,T036,0,49,206
1,12,T037,2816000,741,3681
3,1,T044,34000,20,120
2,1,T045,0,40,574
3,1,T046,7000,68,304
3,1,T054,35000,35,119
3,1,T057,41000,21,493
3,1,T058,87000,100,452
3,1,T059,3000,37,219
3,1,T060,11000,19,96
3,3,T068,168000,116,783
2,3,T070,252000,-9,1512
3,1,T075,5000,10,99
3,1,T077,9000,28,152
2,2,T079,105000,97,1016
3,1,T089,67000,23,240
3,1,T092,77000,78,341
3,1,U019,68000,23,763
2,1,T096,0,25,625
3,1,T117,97000,141,692
3,1,T119,63000,55,508
2,4,T126,453000,126,1937
3,3,T129,560000,161,1226
3,2,T132,161000,118,869
2,3,U017,57000,59,1981
3,1,T145,0,29,370
3,1,U008,38000,74,773
3,1,T161,27000,33,247
3,1,T162,3000,21,384
3,2,T165,93000,116,480
3,4,T169,147000,126,507
3,6,T173,1845000,465,3023
3,1,T187,65000,79,330
3,1,T190,1000,16,99
2,5,T191,451000,43,2610
3,2,T179,419000,242,1202
3,1,T194,10000,6,86
3,2,T198,29000,32,695
3,1,T203,31000,54,143
2,1,T204,92000,71,708
3,1,T209,99000,73,174
3,1,U021,303000,85,477
3,1,U033,67000,100,559
3,1,U026,48000,45,440
3,1,U040,39000,11,815
3,2,U030,146000,33,595
3,1,T214,24000,6,210
3,1,T217,5000,6,166
3,1,T219,28000,20,191
3,1,T225,0,23,154
3,2,T227,28000,15,311
3,1,T238,5000,11,175
3,1,T234,5000,89,283
2,2,T249,654000,261,837
3,2,U022B,243000,114,1089
3,1,J048,14000,-9,281
3,1,302,0,-9,549
3,1,283,126000,-9,65
1,1,288,0,-9,936
3,1,265,-9,-9,116
3,15,1,3041000,1679,5382
2,23,2,2644000,1411,12200
2,17,101,4645000,2482,11017
3,8,99,1048000,534,2907
2,30,7,6104000,2916,18723
3,19,8,3226000,1198,10843
2,20,10,2345000,1056,10679
2,11,12,957000,415,4567
3,16,14,2768000,1742,4300
3,6,15,1116000,663,2255
3,6,17,1491000,776,3877
2,3,19,584000,232,961
2,43,136,10380000,5513,38385
2,58,21,9598000,4467,51321
2,5,22,391000,262,1949
2,5,106,522000,296,2882
2,7,24,1472000,989,5613
2,212,29,35995000,11309,159520
3,5,31,636000,411,1937
3,3,135,857000,550,1501
3,16,34,2130000,1137,10563
2,5,37,606000,274,1964
3,12,38,981000,577,2288
2,5,39,798000,468,2094
3,6,40,1419000,375,2832
3,19,41,3071000,1444,6309
2,34,112,8514000,4861,23541
2,18,42,2725000,941,16306
2,60,43,8953000,4508,41935
3,21,44,3224000,1770,9419
2,8,46,1658000,893,4956
3,3,49,725000,292,926
3,14,52,3913000,1714,4254
2,39,53,3617000,1431,28787
1,21,115,4642000,2996,9669
2,8,143,814000,583,6400
3,6,116,1283000,629,2690
3,12,58,2261000,1221,5100
3,20,60,3044000,1782,9402
1,43,117,16395000,8017,35949
1,61,118,27791000,11906,37465
3,8,69,1304000,744,3676
3,7,70,854000,634,2714
1,10,120,3948000,2095,6201
2,19,71,3501000,1721,9639
2,29,121,13957000,5578,18968
2,5,72,544000,311,3522
2,10,74,3294000,652,5771
2,66,75,10719000,4331,53140
3,11,77,1907000,1129,5096
1,60,123,23929000,9955,27838
3,3,79,501000,299,1255
1,30,124,8605000,4548,13867
2,28,80,2568000,1005,13860
3,8,81,1037000,545,2983
3,19,82,2405000,1439,10612
3,14,83,2574000,1472,4617
2,6,139,765000,528,4032
3,10,85,1385000,884,5402
2,23,88,2425000,1644,18095
2,20,89,4160000,1419,19998
2,17,127,5124000,2784,12067
3,17,92,3446000,2278,7520
1,83,128,28660000,10343,77655
2,7,93,1128000,812,4934
2,17,94,2987000,1587,7493
3,7,132,954000,774,3300
3,16,96,3986000,2265,7306
2,19,98,8045000,1003,11689
2,0,23,-9,305,1198
3,13,8458,2077000,913,5170
3,8,29103,809000,457,3083
2,10,31016,872000,296,5039
2,20,17408,3647000,1473,13100
2,17,6119,2299000,1091,11525
2,32,17405,3489000,1517,15070
2,26,37501,2992000,1787,10324
2,26,27403,4042000,1715,15815
2,15,18100,3355000,1872,6561
3,3,24111,771000,233,1021
2,7,6117,730000,343,3634
3,5,4228,962000,277,1601
2,22,32356,2619000,1183,10842
3,7,21401,1920000,765,3344
2,31,27400,15275000,3172,13669
3,3,36250,613000,261,836
3,1,38306,44000,26,187
2,3,31330,1229000,119,639
3,4,7002,494000,122,650
2,10,32361,1784000,932,4913
3,1,19028,72000,15,126
2,7,27404,506000,204,2123
2,41,31015,6537000,2321,21509
3,7,19401,1268000,580,2900
1,30,31002,4863000,2586,18490
2,30,6114,4448000,1880,21245
2,36,17210,4683000,1804,22471
2,9,37502,2004000,900,5193
3,2,20401,84000,31,116
2,7,39200,2061000,933,3004
2,1,34324,71000,65,601
3,3,22204,53000,31,144
2,35,17401,6660000,3140,18379
3,1,23404,597000,191,378
2,1,11056,44000,23,91
1,25,3017,4440000,1982,13809
2,41,17415,6755000,2462,26346
2,3,3052,649000,187,1734
2,10,31004,1636000,565,6550
2,47,17414,4186000,1560,24363
2,5,31306,442000,79,2410
2,2,32362,182000,72,668
3,16,8122,3226000,1597,7646
2,20,31025,2957000,849,11969
2,13,32354,1525000,557,8038
2,7,32326,2503000,279,2341
2,8,17400,351000,158,4220
2,10,31103,961000,473,5769
3,3,14066,433000,175,1380
3,14,13161,2976000,1468,6520
3,2,21206,245000,96,632
2,3,39209,3195000,532,1214
2,6,37507,822000,368,2373
3,10,29320,2415000,852,5694
3,4,26056,921000,325,1341
2,13,18400,2642000,655,7108
3,6,23403,1026000,372,2389
3,1,25200,0,10,78
2,32,17417,3378000,838,19991
2,12,15201,4178000,737,6484
3,2,14400,389000,147,323
2,20,34111,3232000,1223,9233
3,4,28137,103000,85,556
3,1,9013,319000,96,244
2,14,11001,5313000,2317,8538
3,2,24122,173000,60,350
3,6,16050,1106000,286,1837
3,6,38267,555000,312,2251
3,1,16048,247000,113,343
3,4,25116,809000,274,596
2,27,17403,3621000,1190,12698
1,15,3400,3302000,844,9122
3,1,38320,135000,83,312
3,3,13160,880000,293,1321
3,3,28149,131000,115,979
1,115,17001,30939000,12047,47453
3,12,29101,1482000,754,4403
2,7,39119,1057000,398,3700
3,6,5323,993000,433,2874
2,17,17412,2529000,987,10178
2,19,31201,1516000,493,8771
2,8,17410,694000,272,4385
2,19,18402,3067000,1382,11569
2,7,15206,566000,315,2393
1,66,32081,15334000,7157,32615
2,6,27001,556000,265,1949
3,4,30303,3152000,181,1096
2,13,27320,1891000,695,7877
1,68,27010,23540000,8193,33556
2,9,17409,1061000,192,5903
3,2,38265,109000,63,220
2,4,34402,408000,205,1523
3,3,24404,982000,549,1314
2,8,39202,3331000,1140,3524
3,1,20400,4000,15,185
2,13,34033,1430000,526,6226
2,10,27083,968000,426,5235
2,39,6037,9376000,4125,21040
3,13,36140,4062000,1402,6133
2,6,39207,4406000,1212,3188
3,1,33049,1404000,123,402
3,16,4246,3540000,1414,7338
2,9,39208,1149000,313,4417
2,8,27416,825000,337,4090
3,4,8404,430000,176,1857
1,25,39007,9217000,3916,13997
2,8,34002,1433000,555,4236
2,4,39205,511000,169,1255
3,7,5402,1064000,349,1503
3,6,24019,1902000,343,2235
2,33,27003,3049000,1121,18798
3,9,200000,2271000,798,2736
2,27,400000,10226000,1919,12793
3,19,600000,3806000,1261,4529
3,8,800000,2272000,687,2740
2,13,1000000,1720000,639,3835
3,6,1400000,1386000,499,1454
3,7,1600000,2328000,765,2260
3,6,1800000,1021000,380,1290
3,31,2000000,6531000,2315,7549
3,5,2200000,1189000,388,1178
3,6,2400000,983000,358,1937
3,13,2600000,3766000,1257,5776
3,10,2800000,2042000,754,3871
1,13,2900000,2460000,895,4870
3,5,3100000,1123000,350,2177
3,30,3300000,7163000,2582,11809
2,7,3400000,-9,-9,477
2,13,3700000,2212000,934,6993
2,90,3900000,17311000,6033,30219
3,8,4100000,1957000,831,2840
3,15,4300000,3833000,1400,4083
3,23,4500000,5599000,2314,6872
3,22,4700000,5753000,1830,8863
2,16,4800000,3496000,1223,5685
3,14,4900000,2909000,1034,4268
3,21,6000000,6429000,2475,5034
3,30,5100000,7507000,2708,9959
2,14,5300000,3085000,916,4721
3,19,5400000,5118000,2042,6300
3,6,5700000,1611000,485,2082
3,16,6200000,5021000,1365,4555
1,14,6400000,3951000,1287,6065
3,6,6600000,698000,221,1294
3,5,6700000,1002000,249,1448
3,5,6900000,1527000,357,1447
3,12,7000000,3332000,1273,5020
2,22,7200000,2812000,1150,8887
3,7,7700000,1571000,454,1786
3,6,7900000,2240000,845,2795
3,5,8100000,1859000,724,1671
3,3,8400000,1050000,269,1256
3,4,8500000,948000,351,1554
2,24,8900000,4892000,1848,7581
3,5,9100000,1570000,749,1834
3,8,9200000,2195000,748,3635
2,3,9400000,747000,274,1155
2,29,9600000,6213000,2576,14300
3,18,9800000,4171000,1584,4685
3,4,485,258000,138,708
3,4,119,589000,247,1872
3,5,170,1410000,489,2301
2,3,231,211000,54,1284
2,2,245,230000,107,646
3,8,280,1034000,350,3130
3,2,287,240000,31,452
3,4,315,1420000,175,533
1,16,413,3786000,1856,6765
3,4,434,477000,274,1774
2,4,469,212000,68,1194
3,2,490,142000,42,537
3,5,602,311000,124,904
3,3,609,464000,180,1044
3,2,623,767000,101,554
2,11,714,607000,113,7442
3,5,1162,427000,281,1148
3,3,1183,197000,107,1238
2,2,1204,178000,86,574
3,3,1218,941000,254,1104
2,7,1253,697000,241,2945
2,4,1414,302000,147,2740
3,4,1421,231000,87,622
2,6,1376,649000,223,4357
3,3,1499,466000,231,1253
2,6,1659,420000,190,1915
2,3,1694,337000,80,1515
2,3,1729,768000,68,841
3,2,1736,54000,33,445
3,14,1862,2439000,857,7308
2,2,1890,50000,21,904
3,3,2128,176000,120,824
1,35,2289,8732000,3074,20352
2,4,6470,328000,40,2520
2,1,2436,213000,52,1677
2,4,2460,216000,57,1337
3,5,2478,1708000,526,2000
3,2,2485,198000,74,648
2,5,2562,964000,184,2935
3,3,2576,166000,93,1130
2,4,2583,362000,99,2527
2,6,2604,506000,183,4097
2,3,2605,191000,28,1031
3,2,2639,135000,72,826
1,16,2695,2538000,1064,10457
3,2,2737,83000,39,300
2,6,2758,612000,262,3652
2,2,2842,40000,5,500
3,4,2885,300000,178,1650
3,3,2898,229000,90,1290
3,4,3150,271000,107,1582
3,3,3276,240000,97,922
3,10,3290,1352000,875,5757
2,7,3297,414000,199,1385
3,9,3339,997000,513,4199
3,4,3409,817000,349,2444
2,7,3437,658000,240,4228
3,3,3434,5122000,513,1060
3,11,3500,1569000,510,3474
2,1,3510,34000,12,325
2,2,3528,49000,12,823
2,6,3612,406000,182,2864
1,206,3619,98438000,37888,100687
3,1,3647,516000,105,945
2,7,3857,876000,186,4498
2,13,3892,1180000,481,6531
2,2,3920,177000,77,325
3,2,3934,207000,99,710
3,2,3948,176000,142,701
2,1,3976,94000,2,100
2,8,4018,509000,63,4757
1,24,4179,2705000,1137,10605
3,3,4207,224000,144,623
3,4,4221,254000,93,1278
3,3,4242,348000,181,935
2,4,4312,175000,33,2069
3,5,4536,176000,89,1139
1,37,4620,8553000,4140,21126
2,4,4641,268000,119,1102
3,3,4760,167000,46,716
3,9,4802,827000,360,2806
2,5,4893,821000,192,2893
2,9,4970,848000,242,5049
3,5,5019,251000,108,1083
3,7,5100,886000,273,2557
3,5,5124,176000,90,389
3,6,5264,885000,447,2931
1,18,5271,2856000,1127,10256
2,4,5355,673000,146,2237
3,3,5362,85000,52,463
3,2,5376,357000,127,502
2,4,5390,317000,84,2769
3,3,5474,717000,346,1731
2,8,5656,804000,233,4697
1,11,5663,2781000,1313,5195
3,2,5726,329000,221,588
3,9,5747,1068000,522,3154
3,5,5824,609000,245,2309
3,3,5866,254000,112,1143
3,4,5985,538000,279,1355
2,1,6083,23000,15,966
3,8,6125,1056000,334,3759
3,7,6216,486000,287,2484
1,19,6223,3821000,1459,9220
3,3,6230,280000,134,788
3,2,6251,211000,71,365
3,3,6293,333000,121,792
2,16,6300,2137000,643,8714
3,4,6384,261000,154,1069
3,2,6440,151000,49,267
3,4,6426,387000,112,790
2,1,6545,108000,44,1022
3,13,6685,1927000,798,6158
3,5,6692,686000,225,1464
3,3,6713,124000,67,460
3,10,336,560000,324,3437
2,4,1309,243000,72,783
3,1,1848,3873000,219,552
3,3,2912,516000,184,1182
3,4,3360,564000,242,1607
3,9,3444,1477000,547,3386
2,10,3549,815000,201,5018
3,5,3682,634000,234,2900
2,3,5026,656000,59,1431
2,1,5061,57000,14,362
3,1,6720,142000,67,666
1,23,1554,4391000,1749,11275
1,35,2793,8047000,3086,19657
1,20,2849,4145000,1770,7500
3,5,2856,717000,249,1171
2,6,3675,314000,72,2636
3,19,5607,2343000,990,8153
2,8,5901,963000,195,4122
3,2,738000,2301000,173,264
3,5,204000,268000,67,364
3,4,1809000,344000,85,596
3,8,201000,384000,133,818
3,3,202000,516000,83,771
3,23,301000,2783000,614,7581
3,14,402000,337000,130,888
1,32,1101000,6371000,1705,12161
3,9,1506000,643000,348,2464
3,10,501000,569000,223,1785
3,5,502000,436000,167,860
3,11,601000,493000,135,1216
3,7,2101000,1451000,409,3340
3,7,701000,752000,260,1989
3,12,801000,1415000,456,2105
3,3,1602000,213000,26,276
3,8,1001000,417000,181,1315
3,4,1201000,239000,34,835
3,9,1202000,758000,310,2493
2,10,1102000,332000,91,975
3,4,1401000,255000,91,475
3,4,2106000,168000,78,888
3,3,1516000,134000,35,182
3,3,714000,4971000,160,691
3,4,2104000,213000,91,746
1,40,1301000,5436000,1698,12080
3,5,2301000,366000,122,1056
3,4,1801000,92000,64,630
3,10,1601000,726000,228,1452
3,6,1501000,673000,258,1781
3,6,725000,1577000,628,2903
3,22,1901000,2420000,469,4924
3,7,1701000,330000,139,914
3,10,1702000,1560000,474,3207
3,3,724000,94000,48,370
3,14,1902000,869000,282,3167
3,3,2202000,57000,35,133
3,10,2001000,295000,136,2308
3,1,2050001,-9,-9,42
